"Role Permissions","Role Permissions"
"Allow to View/Edit Product Owner","Allow to View/Edit Product Owner"
"Allow to Delete Products","Allow to Delete Products"
"Allow to Delete Categories","Allow to Delete Categories"
"Product Access","Product Access"
"Allow access to","Allow access to"
"All Products","All Products"
"Selected Products","Selected Products"
"Own Created Products","Own Created Products"
"All Categories","All Categories"
"Selected Categories","Selected Categories"
"Categories","Categories"
"Advanced Permissions: Scope","Advanced Permissions: Scope"
"Choose Access Scope","Choose Access Scope"
"Limit access to","Limit access to"
"Allow All Stores","Allow All Stores"
"Specified Websites","Specified Websites"
"Specified Store Views","Specified Store Views"
"Websites","Websites"
"Store Views","Store Views"
"Role Successfully Duplicated","Role Successfully Duplicated"
"Access Denied","Access Denied"
"Advanced Permissions: Categories","Advanced Permissions: Categories"
"Advanced Permissions: Products","Advanced Permissions: Products"
"Duplicate Role","Duplicate Role"
"Category Access","Category Access"
"Allow access to","Allow access to"
" (duplicated)"," (duplicated)"