"View On Map","View On Map"
"Select a store","Select a store"
"Search Location","Search Location"
"Vendor Map","Vendor Map"
"Title : ","Title : "
"Address : ","Address : "
"Telephone : ","Telephone : "
"Logo : ","Logo : "
"Edit","Edit"
"Delete","Delete"
"Save","Save"
"Cancel","Cancel"
"Map","Map"
"Enabled","Enabled"
"Disabled","Disabled"
"Default Location","Default Location sdv"
"Map","Map"
"Setting","Setting"
"Vendor Map","Vendor Map"
"Default Location Lat","Default Location Lat"
"Default Location Lng","Default Location Lng"
"Search for Products","Search for Products"
"Search by Address","Search by Address"
"Search","Search"
"Reset","Reset"
"All","All"
"View on vendor map","View on vendor map"
"Product name must be filled out","Product name must be filled out"
"Address must be filled out","Address must be filled out"
"Header","Header"
"Sub Header","Sub Header"
"Product name","Product name"
"City","City"
"State/Province","State/Province"
"Please select","Please select"
"Country","Country"
"Zip","Zip"
"Group","Group"
"All","All"
"Distance","Distance"
"Wholesalers","Wholesalers"
"Retailers","Retailers"